Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
23759189,"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,"Kim, Gene","Kevin Behr, George Spafford","=""""","=""""",4,4.27,IT Revolution Press,Kindle Edition,370,2014,2013,,2021/09/19,favorites,favorites (#11),read,,,,1,0
259072,Designing with Web Standards,Jeffrey Zeldman,"Zeldman, Jeffrey",,"=""0735712018""","=""9780735712010""",5,4.07,New Riders,Paperback,436,2003,2003,,2021/08/31,"programming, favorites","programming (#12), favorites (#13)",read,Read this a long time ago. Changed the course of my development back then.,,,1,0
29496432,Find Your Why: A Practical Guide to Discovering Purpose for You and Your Team,Simon Sinek,"Sinek, Simon","David Mead, Peter  Docker","=""0143111728""","=""9780143111726""",0,3.66,Portfolio,Paperback,256,2017,2017,,2021/09/19,to-read,to-read (#74),to-read,,,,0,0
76865,Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,"Collins, James C.",,"=""0066620996""","=""9780066620992""",0,4.14,HarperBusiness,Hardcover,300,2001,2001,,2021/09/19,to-read,to-read (#73),to-read,,,,0,0
6346975,Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,"Foer, Joshua",,"=""159420229X""","=""9781594202292""",0,3.88,"Penguin Press HC, The",Hardcover,307,2011,2011,,2021/09/19,to-read,to-read (#72),to-read,,,,0,0
43565360,Artificial Intelligence: A Guide for Thinking Humans,Melanie  Mitchell,"Mitchell, Melanie",,"=""0374257833""","=""9780374257835""",0,4.41,"Farrar, Straus and Giroux",Hardcover,336,2019,2019,,2021/09/18,to-read,to-read (#71),to-read,,,,0,0
242433,Andy Grove: The Life and Times of an American,Richard S. Tedlow,"Tedlow, Richard S.",,"=""1591841399""","=""9781591841395""",0,3.97,Portfolio Hardcover,Hardcover,576,2006,2006,,2021/09/18,to-read,to-read (#70),to-read,,,,0,0
18606951,"The Intel Trinity: How Robert Noyce, Gordon Moore, and Andy Grove Built the World's Most Important Company",Michael S. Malone,"Malone, Michael S.",,"=""0062226762""","=""9780062226761""",0,4.19,Harper Business,Hardcover,560,2014,2014,,2021/09/18,to-read,to-read (#69),to-read,,,,0,0
52472115,Good Services: How to design services that work,Lou Downe,"Downe, Lou",,"=""9063695438""","=""9789063695439""",0,4.31,BIS Publishers,Paperback,224,2020,,,2021/09/17,to-read,to-read (#68),to-read,,,,0,0
25520974,"Articulating Design Decisions: Communicate with Stakeholders, Keep Your Sanity, and Deliver the Best User Experience",Tom Greever,"Greever, Tom",,"=""1491921560""","=""9781491921562""",0,4.13,O'Reilly Media,Paperback,259,2015,2015,,2021/09/16,to-read,to-read (#67),to-read,,,,0,0
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""""","=""""",0,4.38,Harriman House,Paperback,252,2020,2020,,2021/09/16,to-read,to-read (#66),to-read,,,,0,0
